"method","runtime","status","error","SHD","TPR","FPR","precision","recall","F1","p","n","seed","max_parents","mcmc_steps","burnin"
"manual_structure",0.54,"success",NA,10,0.125,0.104166666666667,0.166666666666667,0.125,0.142857142857143,8,120,1,1,1200,300
"manual_order",1.38,"success",NA,6,0.25,0.0833333333333333,0.333333333333333,0.25,0.285714285714286,8,120,1,1,1200,300
"manual_partition",2.75,"success",NA,5,0.375,0.0625,0.5,0.375,0.428571428571429,8,120,1,1,1200,300
"manual_structure",0.960000000000001,"success",NA,7,0.5,0.104166666666667,0.444444444444444,0.5,0.470588235294118,8,120,1,2,1200,300
"manual_order",4.93,"success",NA,3,0.75,0.0416666666666667,0.75,0.75,0.75,8,120,1,2,1200,300
"manual_partition",5.12,"success",NA,3,0.75,0.0416666666666667,0.75,0.75,0.75,8,120,1,2,1200,300
"manual_structure",0.879999999999999,"success",NA,7,0.5,0.125,0.4,0.5,0.444444444444444,8,120,1,3,1200,300
"manual_order",7.42,"success",NA,0,1,0,1,1,1,8,120,1,3,1200,300
"manual_partition",7.75,"success",NA,0,1,0,1,1,1,8,120,1,3,1200,300
"manual_structure",0.82,"success",NA,11,0.2,0.108695652173913,0.285714285714286,0.2,0.235294117647059,8,120,2,1,1200,300
"manual_order",2.53,"success",NA,6,0.4,0.0652173913043478,0.571428571428571,0.4,0.470588235294118,8,120,2,1,1200,300
"manual_partition",2.83,"success",NA,6,0.4,0.0652173913043478,0.571428571428571,0.4,0.470588235294118,8,120,2,1,1200,300
"manual_structure",0.82,"success",NA,9,0.5,0.152173913043478,0.416666666666667,0.5,0.454545454545455,8,120,2,2,1200,300
"manual_order",4.32,"success",NA,6,0.6,0.0869565217391304,0.6,0.6,0.6,8,120,2,2,1200,300
"manual_partition",4.81,"success",NA,8,0.4,0.130434782608696,0.4,0.4,0.4,8,120,2,2,1200,300
"manual_structure",0.93,"success",NA,6,0.7,0.0869565217391304,0.636363636363636,0.7,0.666666666666667,8,120,2,3,1200,300
"manual_order",7.67,"success",NA,4,0.7,0.0652173913043478,0.7,0.7,0.7,8,120,2,3,1200,300
"manual_partition",7.94,"success",NA,4,0.7,0.0652173913043478,0.7,0.7,0.7,8,120,2,3,1200,300
